False True None others
2017-11-21 96.222 0.252 3.526 0.000 
2017-11-22 97.638 0.729 1.634 0.000 
2017-11-23 98.481 0.632 0.886 0.000 
2017-11-24 98.771 0.677 0.552 0.000 
2017-11-25 98.889 0.765 0.346 0.000 
2017-11-26 98.947 0.738 0.315 0.000 
2017-11-27 99.065 0.639 0.296 0.000 
2017-11-28 99.072 0.655 0.274 0.000 
2017-11-29 99.196 0.548 0.256 0.000 
2017-11-30 99.211 0.623 0.166 0.000 
2017-12-1 99.223 0.649 0.128 0.000 
2017-12-2 99.111 0.714 0.175 0.000 
2017-12-3 99.278 0.633 0.089 0.000 
2017-12-4 99.233 0.650 0.117 0.000 
2017-12-5 99.214 0.710 0.076 0.000 
2017-12-6 99.247 0.668 0.085 0.000 
2017-12-7 99.096 0.795 0.109 0.000 
2017-12-8 99.083 0.842 0.075 0.000 
2017-12-9 99.108 0.843 0.049 0.000 
2017-12-10 99.085 0.848 0.068 0.000 
2017-12-11 99.260 0.697 0.043 0.000 
2017-12-12 99.334 0.618 0.048 0.000 
2017-12-13 99.223 0.721 0.056 0.000 
2017-12-14 99.353 0.611 0.036 0.000 
2017-12-15 99.096 0.848 0.057 0.000 
2017-12-16 99.174 0.800 0.025 0.000 
2017-12-17 99.259 0.684 0.057 0.000 
2017-12-18 99.271 0.695 0.034 0.000 
2017-12-19 99.243 0.720 0.037 0.000 
2017-12-20 99.340 0.628 0.031 0.000 
2017-12-21 99.273 0.690 0.036 0.000 
2017-12-22 99.197 0.779 0.023 0.000 
2017-12-23 99.075 0.847 0.078 0.000 
2017-12-24 99.222 0.748 0.030 0.000 
2017-12-25 99.089 0.878 0.033 0.000 
2017-12-26 99.217 0.769 0.014 0.000 
2017-12-27 99.380 0.613 0.007 0.000 
2017-12-28 99.374 0.618 0.008 0.000 
2017-12-29 99.213 0.758 0.029 0.000 
2017-12-30 99.146 0.838 0.017 0.000 
2017-12-31 99.311 0.671 0.018 0.000 
2018-1-1 99.652 0.348 0.000 0.000 
2018-1-2 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 100.000 
2018-1-6 99.457 0.523 0.020 0.000 
2018-1-7 99.477 0.495 0.029 0.000 
2018-1-8 99.533 0.457 0.009 0.000 
2018-1-9 99.350 0.641 0.010 0.000 
2018-1-10 99.304 0.685 0.011 0.000 
2018-1-11 99.256 0.728 0.016 0.000 
2018-1-12 99.309 0.682 0.009 0.000 
2018-1-13 99.254 0.737 0.009 0.000 
2018-1-14 99.283 0.693 0.024 0.000 
2018-1-15 99.449 0.551 0.000 0.000 
2018-1-16 99.367 0.624 0.009 0.000 
2018-1-17 99.423 0.568 0.009 0.000 
2018-1-18 99.390 0.605 0.005 0.000 
2018-1-19 99.366 0.626 0.009 0.000 
2018-1-20 99.266 0.734 0.000 0.000 
2018-1-21 99.324 0.671 0.005 0.000 
2018-1-22 99.318 0.670 0.012 0.000 
2018-1-23 99.344 0.650 0.005 0.000 
2018-1-24 99.433 0.567 0.000 0.000 
2018-1-25 99.322 0.664 0.014 0.000 
2018-1-26 99.249 0.741 0.010 0.000 
2018-1-27 99.294 0.691 0.015 0.000 
2018-1-28 99.179 0.812 0.008 0.000 
2018-1-29 99.446 0.545 0.009 0.000 
2018-1-30 99.117 0.872 0.011 0.000 
2018-1-31 99.246 0.742 0.012 0.000 
2018-2-1 99.367 0.620 0.014 0.000 
2018-2-2 99.240 0.760 0.000 0.000 
2018-2-3 99.127 0.873 0.000 0.000 
2018-2-4 99.377 0.623 0.000 0.000 
2018-2-5 99.301 0.699 0.000 0.000 
2018-2-6 99.403 0.597 0.000 0.000 
2018-2-7 99.386 0.614 0.000 0.000 
2018-2-8 99.357 0.643 0.000 0.000 
2018-2-9 99.311 0.689 0.000 0.000 
2018-2-10 99.271 0.712 0.017 0.000 
2018-2-11 99.354 0.636 0.010 0.000 
2018-2-12 99.353 0.647 0.000 0.000 
2018-2-13 99.384 0.606 0.010 0.000 
2018-2-14 99.360 0.640 0.000 0.000 
2018-2-15 99.242 0.737 0.022 0.000 
2018-2-16 99.164 0.836 0.000 0.000 
2018-2-17 99.116 0.884 0.000 0.000 
2018-2-18 99.040 0.960 0.000 0.000 
2018-2-19 99.360 0.640 0.000 0.000 
2018-2-20 99.286 0.714 0.000 0.000 
2018-2-21 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 100.000 
